date,log_ret
1993-05-31,-2.222357
1993-06-01,-1.025711
1993-06-02,10.76981
1993-06-03,-3.751934
1993-06-04,-1.502382
1993-06-07,2.950783
1993-06-08,0.2836766
1993-06-09,-1.049691
1993-06-10,-1.3408
1993-06-11,-0.9213727
1993-06-14,-5.27936
1993-06-15,0.3628397
1993-06-16,-0.1187283
1993-06-17,-0.2963154
1993-06-18,2.266583
1993-06-21,-3.543718
1993-06-22,0.1644479
1993-06-23,0.8073662
1993-06-24,-0.07557237
1993-06-25,0.1893981
1993-06-28,-0.03484988
1993-06-29,1.450156
1993-06-30,-1.902831
1993-07-01,-0.9652717
1993-07-02,0.5371364
1993-07-05,-2.239094
1993-07-06,-5.048198
1993-07-07,-0.02863264
1993-07-08,-0.08308194
1993-07-09,-2.986597
1993-07-12,-3.417269
1993-07-13,1.114615
1993-07-14,-2.61103
1993-07-15,-0.8891841
1993-07-16,-0.6452303
1993-07-19,-3.699703
1993-07-20,-2.208983
1993-07-21,-1.132363
1993-07-22,0.8846258
1993-07-23,1.127728
1993-07-26,-2.53667
1993-07-27,2.188255
1993-07-28,1.669607
1993-07-29,1.619145
1993-07-30,7.309857
1993-08-02,-3.638493
1993-08-03,-1.77716
1993-08-04,2.071267
1993-08-05,1.020683
1993-08-06,-0.01940053
1993-08-09,4.373992
1993-08-10,-1.250065
1993-08-11,3.270545
1993-08-12,3.632478
1993-08-13,3.34541
1993-08-16,9.115424
1993-08-17,-8.223856
1993-08-18,-1.220354
1993-08-19,0.428485
1993-08-20,-3.098685
1993-08-23,-6.545693
1993-08-24,4.54431
1993-08-25,-0.4448937
1993-08-26,-0.9006649
1993-08-27,-1.833629
1993-08-30,1.097807
1993-08-31,0.04677851
1993-09-01,-1.283597
1993-09-02,0.3922209
1993-09-03,2.932132
1993-09-06,1.558586
1993-09-07,-2.958452
1993-09-08,-0.3366229
1993-09-09,-0.4109656
1993-09-10,-0.8737608
1993-09-13,-3.121503
1993-09-14,0.2033247
1993-09-15,-0.2440192
1993-09-16,-0.9592197
1993-09-17,0.6500931
1993-09-20,1.913714
1993-09-21,0.4136941
1993-09-22,0.05246363
1993-09-23,0.1154395
1993-09-24,-2.121182
1993-09-27,0.6675336
1993-09-28,1.567842
1993-09-29,-0.08988887
1993-09-30,0.1737385
1993-10-04,1.361626
1993-10-05,-0.6446496
1993-10-06,-0.6641923
1993-10-07,0.4257064
1993-10-08,-1.355439
1993-10-11,-1.124564
1993-10-12,-0.03806353
1993-10-13,-1.331815
1993-10-14,-0.4980057
1993-10-15,0.5095272
1993-10-18,-2.439217
1993-10-19,0.3107222
1993-10-20,0.1853729
1993-10-21,-1.229377
1993-10-22,-1.414333
1993-10-25,-3.745837
1993-10-26,-0.3486566
1993-10-27,-0.2718096
1993-10-28,4.961943
1993-10-29,-1.865614
1993-11-01,-0.2701786
1993-11-02,-0.04915896
1993-11-03,-0.8685165
1993-11-04,-0.872177
1993-11-05,0.9581327
1993-11-08,2.531159
1993-11-09,-0.3777764
1993-11-10,1.231416
1993-11-11,1.953954
1993-11-12,2.57726
1993-11-15,2.8911
1993-11-16,-2.09841
1993-11-17,1.222577
1993-11-18,1.326532
1993-11-19,1.584574
1993-11-22,1.150472
1993-11-23,-0.7259178
1993-11-24,-1.254976
1993-11-25,2.733627
1993-11-26,-1.805691
1993-11-29,-0.1918533
1993-11-30,1.003518
1993-12-01,-1.74519
1993-12-02,-0.7327399
1993-12-03,0.2258382
1993-12-06,1.169613
1993-12-07,1.173532
1993-12-08,-0.4959275
1993-12-09,-1.538399
1993-12-10,1.175595
1993-12-13,-3.314613
1993-12-14,-1.305183
1993-12-15,1.615365
1993-12-16,-2.669831
1993-12-17,-1.295178
1993-12-20,-11.97081
1993-12-21,4.892575
1993-12-22,-2.616778
1993-12-23,-0.4029832
1993-12-24,1.198479
1993-12-27,0.3836101
1993-12-28,-1.22105
1993-12-29,-1.851454
1993-12-30,0.4711971
1993-12-31,-0.05136926
1994-01-03,-1.191133
1994-01-04,-1.352994
1994-01-05,1.094587
1994-01-06,4.117292
1994-01-07,1.039383
1994-01-10,1.194496
1994-01-11,-2.063668
1994-01-12,-0.5211463
1994-01-13,0.7578569
1994-01-14,-4.916262
1994-01-17,-0.1319695
